gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TNNT3,2.1213391763867302e-126,1.6101223384721224,0.998,0.866,3.8235017315194424e-122
IGFBP5,6.461251661527832e-123,1.1149986682751836,0.989,0.923,1.1645759994737763e-118
PLCG2,2.2120288283352547e-120,-1.910253270377965,0.448,0.908,3.986960760191463e-116
TNNI2,3.7288049784945995e-112,1.2172806342276528,0.991,0.777,6.720798093238666e-108
AL627171.2,3.04360771534539e-93,-1.1328703251527212,0.23,0.716,5.485798546138531e-89
PTN,3.4646024928311805e-92,1.205635233741161,0.956,0.861,6.24459953307892e-88
TUBA1A,1.683836935523584e-86,0.7743740592597308,1,0.982,3.034947692587708e-82
MYH8,2.2091380328666055e-84,1.1151285666732136,0.993,0.885,3.9817503904387695e-80
DLK1,6.420117894349722e-83,0.9427162607378183,0.981,0.887,1.157162049277594e-78
COL1A2,7.151797848059773e-77,0.9167494762059358,0.994,0.93,1.2890400441342934e-72
ACTA1,1.6398706074906154e-75,0.9771895766383656,0.973,0.81,2.955702782941085e-71
EGR1,3.066954990274907e-74,0.9771767082126868,0.671,0.231,5.527879674471493e-70
CDKN1A,5.859667024970926e-70,0.8529268402403722,0.921,0.664,1.0561463845807596e-65
CRYAB,8.098693346784224e-70,0.8573338615475203,0.906,0.616,1.4597084888243884e-65
ATP2A2,3.701847206718523e-69,0.8908542425168724,0.877,0.611,6.672209405389466e-65
FLNC,3.1724679006990724e-68,0.7312682607847505,0.948,0.815,5.718056144220008e-64
MTRNR2L12,5.4502410792171366e-68,-1.2408491129995325,0.681,0.92,9.823514521180967e-64
DES,1.1580687428644102e-67,1.0407078891837307,0.913,0.689,2.087303102138813e-63
MYH3,6.767658874491254e-66,1.019254276324057,0.998,0.974,1.2198028355383036e-61
MYBPC1,2.9196956512909406e-65,0.8614092050417987,0.936,0.687,5.262459441886791e-61
ACTC1,5.06359353291908e-65,0.8769798117940706,1,0.99,9.12662098373335e-61
COX6C,5.753196416136929e-65,0.6103278556276273,0.986,0.913,1.03695612204452e-60
COL16A1,6.349896819085946e-65,0.8266809542345843,0.754,0.377,1.1445054026720509e-60
MYLPF,4.821969625549287e-63,0.7777438718578678,1,0.993,8.691118053090034e-59
CASQ2,4.895869193917878e-62,0.8935531120379285,0.719,0.339,8.824314635117582e-58
SELENOW,1.837158464726074e-61,0.6016688547827216,0.999,0.984,3.3112944168222753e-57
DDX5,6.504255762410587e-61,0.6627760198498303,0.968,0.833,1.1723270586168842e-56
TNNC2,8.546682307546399e-61,0.8353168266100406,0.999,0.959,1.540454019112163e-56
TNNT1,6.240637745391653e-60,0.9513936337712321,0.981,0.877,1.1248125472293915e-55
PTGDS,9.301215548077171e-60,0.7857055326402307,0.582,0.185,1.6764510903854295e-55
