gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
TNNT3;2,12133917638673e-126;1,610122338472122;0,998;0,866;3,82350173151944e-122
IGFBP5;6,46125166152783e-123;1,114998668275184;0,989;0,923;1,16457599947378e-118
PLCG2;2,21202882833525e-120;-1,910253270377965;0,448;0,908;3,98696076019146e-116
TNNI2;3,72880497849460e-112;1,217280634227653;0,991;0,777;6,72079809323867e-108
AL627171.2;3,04360771534539e-93;-1,132870325152721;0,230;0,716;5,48579854613853e-89
PTN;3,46460249283118e-92;1,205635233741161;0,956;0,861;6,24459953307892e-88
TUBA1A;1,68383693552358e-86;0,774374059259731;1,000;0,982;3,03494769258771e-82
MYH8;2,20913803286661e-84;1,115128566673214;0,993;0,885;3,98175039043877e-80
DLK1;6,42011789434972e-83;0,942716260737818;0,981;0,887;1,15716204927759e-78
COL1A2;7,15179784805977e-77;0,916749476205936;0,994;0,930;1,28904004413429e-72
ACTA1;1,63987060749062e-75;0,977189576638366;0,973;0,810;2,95570278294109e-71
EGR1;3,06695499027491e-74;0,977176708212687;0,671;0,231;5,52787967447149e-70
CDKN1A;5,85966702497093e-70;0,852926840240372;0,921;0,664;1,05614638458076e-65
CRYAB;8,09869334678422e-70;0,857333861547520;0,906;0,616;1,45970848882439e-65
ATP2A2;3,70184720671852e-69;0,890854242516872;0,877;0,611;6,67220940538947e-65
FLNC;3,17246790069907e-68;0,731268260784750;0,948;0,815;5,71805614422001e-64
MTRNR2L12;5,45024107921714e-68;-1,240849112999532;0,681;0,920;9,82351452118097e-64
DES;1,15806874286441e-67;1,040707889183731;0,913;0,689;2,08730310213881e-63
MYH3;6,76765887449125e-66;1,019254276324057;0,998;0,974;1,21980283553830e-61
MYBPC1;2,91969565129094e-65;0,861409205041799;0,936;0,687;5,26245944188679e-61
ACTC1;5,06359353291908e-65;0,876979811794071;1,000;0,990;9,12662098373335e-61
COX6C;5,75319641613693e-65;0,610327855627627;0,986;0,913;1,03695612204452e-60
COL16A1;6,34989681908595e-65;0,826680954234584;0,754;0,377;1,14450540267205e-60
MYLPF;4,82196962554929e-63;0,777743871857868;1,000;0,993;8,69111805309003e-59
CASQ2;4,89586919391788e-62;0,893553112037929;0,719;0,339;8,82431463511758e-58
SELENOW;1,83715846472607e-61;0,601668854782722;0,999;0,984;3,31129441682228e-57
DDX5;6,50425576241059e-61;0,662776019849830;0,968;0,833;1,17232705861688e-56
TNNC2;8,54668230754640e-61;0,835316826610041;0,999;0,959;1,54045401911216e-56
TNNT1;6,24063774539165e-60;0,951393633771232;0,981;0,877;1,12481254722939e-55
PTGDS;9,30121554807717e-60;0,785705532640231;0,582;0,185;1,67645109038543e-55
TUBB2B;2,25092729031201e-59;0,767429813662141;0,900;0,708;4,05707134805836e-55
WSB1;7,58353779916178e-59;0,752921991548205;0,857;0,605;1,36685685292092e-54
SPARC;1,44718678700027e-57;0,597488265211177;1,000;0,990;2,60840946488929e-53
C1orf61;2,00202150237918e-54;0,945598905211902;0,757;0,482;3,60844355588823e-50
COL6A1;6,05196565663759e-54;0,684529136857666;0,953;0,854;1,09080628995236e-49
GFAP;2,03334663819777e-53;0,843661668363503;0,749;0,426;3,66490398068766e-49
TNC;2,88857812196642e-53;0,710540216710484;0,547;0,175;5,20637320703228e-49
SPARCL1;1,18247431101993e-52;0,842837099005377;0,905;0,764;2,13129169818232e-48
TPM1;3,97411373943972e-52;0,706147152644373;0,980;0,900;7,16294260396615e-48
TNNT2;1,07218676131217e-51;0,885494650027861;0,959;0,831;1,93250941858906e-47
ATP5ME;1,35360078960317e-50;0,511891635260916;0,998;0,977;2,43973006318076e-46
CKM;2,67968306742815e-50;0,785922683151648;0,911;0,698;4,82986076073250e-46
EMC10;1,49478947660890e-49;0,605003407924697;0,572;0,205;2,69420855263988e-45
UQCR10;2,47840353556069e-49;0,554123825614838;0,967;0,877;4,46707453249459e-45
RBP1;2,50903655368368e-49;0,687947750363671;0,857;0,628;4,52228748435947e-45
BLCAP;4,23764056901090e-49;0,629695546070596;0,829;0,562;7,63792336158524e-45
TTN;3,48345292857815e-48;0,752915056664612;0,962;0,828;6,27857555846926e-44
ATP5MF;1,17883315382683e-47;0,551401622860203;0,957;0,849;2,12472887645749e-43
NEB;1,92050242928967e-47;0,800772725688337;0,833;0,574;3,46151357855169e-43
COL1A1;2,18158657384981e-47;0,707864135936457;1,000;0,989;3,93209164070689e-43
H3F3B;2,22872518556805e-47;0,544624001413159;0,977;0,921;4,01705427446785e-43
ACADVL;7,46532558870295e-47;0,620037715927400;0,710;0,379;1,34555028410782e-42
EHBP1L1;3,94568033558002e-46;0,720048992131998;0,612;0,285;7,11169423684944e-42
PDE4DIP;8,86775065475555e-46;0,620174177493354;0,668;0,328;1,59832337801314e-41
TUBB2A;1,02161094428430e-42;0,609984806038355;0,840;0,641;1,84135156597803e-38
SRPK3;1,07304468657578e-42;0,727603162255641;0,537;0,211;1,93405574308419e-38
COL6A3;2,34875831988412e-42;0,717075218454165;0,928;0,831;4,23340199575913e-38
PSAP;2,39116063600864e-42;0,559314900041442;0,985;0,933;4,30982793034196e-38
PFKM;4,12205348499100e-42;0,619126140569325;0,586;0,259;7,42958920134777e-38
GOLGA8A;7,55146701516415e-42;0,648320861333417;0,640;0,320;1,36107641481319e-37
RYR1;2,18954400855889e-41;0,805175916711809;0,765;0,516;3,94643412102654e-37
GNAS;2,54391384913916e-41;0,456021717134522;1,000;0,997;4,58515032168843e-37
OCIAD1;3,13200424387030e-41;0,568653184068313;0,765;0,508;5,64512444915182e-37
UCHL1;7,11768975059233e-41;0,580576131251796;0,816;0,602;1,28289240064676e-36
RPS6;3,99208825337519e-40;-0,341942474481497;1,000;1,000;7,19533986788343e-36
CHCHD2;5,23984305841577e-40;-0,464768362846922;0,134;0,416;9,44429312848858e-36
MYL5;1,04956331495570e-39;0,694968728372942;0,427;0,131;1,89173291887616e-35
CD99;1,17657719051544e-39;0,574916838179955;0,890;0,756;2,12066272818503e-35
CCNL2;1,42880983179568e-39;0,609798395148469;0,808;0,592;2,57528684082854e-35
KLHL41;1,71836085840050e-39;0,626740500330434;0,929;0,780;3,09717361118106e-35
HOPX;1,77580493313790e-39;0,654967419512101;0,447;0,144;3,20071081148775e-35
UQCRQ;2,22648234531485e-39;0,441907347816584;0,992;0,956;4,01301177919548e-35
DDX17;2,33925451861314e-39;0,526692687721077;0,959;0,862;4,21627234434832e-35
DST;4,43693187864434e-39;0,516203186671531;0,584;0,262;7,99712601806856e-35
SRSF6;5,53507571484117e-39;0,546036937487446;0,664;0,359;9,97642046842972e-35
NDUFA13;7,18177268779706e-39;0,509224822016400;0,914;0,808;1,29444270924854e-34
TSPAN3;1,25007350172159e-38;0,527136688402426;0,904;0,772;2,25313247950299e-34
MYBPH;1,48341657549072e-38;0,662916110261073;0,973;0,900;2,67371003566447e-34
NDUFA1;3,33473841227994e-38;0,501441320115360;0,904;0,762;6,01053251429337e-34
RPS27;3,97852977373285e-38;-0,326043486204163;1,000;1,000;7,17090206417609e-34
PDLIM3;5,18155492071145e-38;0,543836029294175;0,592;0,264;9,33923458909031e-34
MAGED1;1,10340990978714e-37;0,488061018829628;0,937;0,848;1,98878602140035e-33
SRRM2;2,80713062342044e-37;0,542202920302170;0,820;0,593;5,05957223565300e-33
S100B;5,53929913070728e-37;0,660078399233180;0,418;0,133;9,98403275318680e-33
OAZ1;1,00778478272898e-36;0,457449232718163;0,968;0,870;1,81643129239071e-32
HNRNPA2B1;1,09707012207839e-36;0,493122706369660;0,977;0,926;1,97735918803409e-32
AL355075.4;1,29137508213601e-36;-0,490488938537668;0,044;0,251;2,32757444804194e-32
CACNB1;1,32355802277656e-36;0,676303742658717;0,619;0,346;2,38558098025248e-32
ANK2;1,68336492713393e-36;0,501597281681125;0,660;0,356;3,03409694466620e-32
LDB3;2,01415635494250e-36;0,677896112346060;0,524;0,226;3,63031541414837e-32
SRSF5;2,38387155711885e-36;0,564179218315666;0,776;0,538;4,29669009455101e-32
PENK;2,56354024692930e-36;-0,702639277986931;0,210;0,503;4,62052494106536e-32
COL3A1;3,07079918641483e-36;0,530439977138506;1,000;1,000;5,53480845359410e-32
MALAT1;3,80777727982462e-36;-0,586643351465008;0,788;0,931;6,86313776915590e-32
