gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL1A2,1.4995738699870918e-89,1.5075653329536696,0.994,0.879,2.6969836051717846e-85
IGFBP5,8.992617038994799e-84,1.2309154628922823,0.989,0.899,1.6173221744632147e-79
DLK1,1.3623627097740163e-75,1.2506566175856526,0.981,0.842,2.4502093335285684e-71
AL627171.2,9.680403315975867e-75,-1.2715303166743563,0.233,0.758,1.7410205363782596e-70
PTN,4.082761528901011e-69,1.4174966535065918,0.956,0.802,7.3428466097284685e-65
TNNT3,3.860947409374205e-63,1.3959653239934244,0.999,0.909,6.943913915759508e-59
PLCG2,1.2418651722123345e-57,-1.6964538809032526,0.444,0.866,2.2334945122238837e-53
TNNI2,1.0092383931855874e-56,1.0687824238234596,0.99,0.819,1.815115250144279e-52
SPARC,8.13430740483581e-55,0.7890245595560792,1,0.983,1.4629551867597204e-50
ACTA1,8.566441044897057e-53,1.070709103415148,0.972,0.785,1.5406744219247356e-48
COL1A1,1.5421944768075728e-51,1.004363314517632,1,0.977,2.77363676653842e-47
C1orf61,6.439826339658123e-48,1.1674533050478724,0.754,0.342,1.1582027671875134e-43
GFAP,1.6220289011382342e-46,1.022466481187334,0.746,0.299,2.917218978697114e-42
COL16A1,1.3977126713486138e-45,0.9251339009286169,0.752,0.329,2.513786239420482e-41
SPARCL1,3.614606484073991e-43,0.9833499574109954,0.906,0.711,6.500869761607073e-39
TUBA1A,6.1034613421674086e-43,0.6770726598501922,1,0.987,1.0977075223888084e-38
PSAP,7.0422527536181125e-43,0.7566311825032805,0.985,0.906,1.2665491577382175e-38
PTGDS,2.248967315106535e-42,0.9051483748630563,0.583,0.134,4.044767716219103e-38
EGR1,8.238170924678908e-42,0.9590332044336887,0.67,0.242,1.4816350408035017e-37
COX6C,8.969354836877605e-42,0.6408718747210695,0.986,0.909,1.6131384674124374e-37
CRYAB,1.641556057359059e-41,0.8602191143718352,0.906,0.591,2.9523385691602678e-37
COL3A1,1.6729976520591444e-41,0.7686087960457186,1,1,3.008886277228371e-37
COL6A1,4.515863458813064e-41,0.7847180699317666,0.953,0.815,8.121780430675296e-37
ATP2A2,1.0599234830201241e-40,0.875513420648266,0.877,0.621,1.9062723842116932e-36
CDKN1A,3.059081272006295e-39,0.820158979062005,0.921,0.658,5.501757667703321e-35
MYH8,5.002172507207815e-37,0.9006381770572722,0.993,0.909,8.996407254213256e-33
RPS2,1.8130048268495866e-36,-0.4274330460513802,1,1,3.2606891810889813e-32
TNNT1,1.1859559450676381e-35,0.9689705416654659,0.982,0.862,2.1329417672041473e-31
