gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
COL1A2;1,49957386998709e-89;1,507565332953670;0,994;0,879;2,69698360517178e-85
IGFBP5;8,99261703899480e-84;1,230915462892282;0,989;0,899;1,61732217446321e-79
DLK1;1,36236270977402e-75;1,250656617585653;0,981;0,842;2,45020933352857e-71
AL627171.2;9,68040331597587e-75;-1,271530316674356;0,233;0,758;1,74102053637826e-70
PTN;4,08276152890101e-69;1,417496653506592;0,956;0,802;7,34284660972847e-65
TNNT3;3,86094740937421e-63;1,395965323993424;0,999;0,909;6,94391391575951e-59
PLCG2;1,24186517221233e-57;-1,696453880903253;0,444;0,866;2,23349451222388e-53
TNNI2;1,00923839318559e-56;1,068782423823460;0,990;0,819;1,81511525014428e-52
SPARC;8,13430740483581e-55;0,789024559556079;1,000;0,983;1,46295518675972e-50
ACTA1;8,56644104489706e-53;1,070709103415148;0,972;0,785;1,54067442192474e-48
COL1A1;1,54219447680757e-51;1,004363314517632;1,000;0,977;2,77363676653842e-47
C1orf61;6,43982633965812e-48;1,167453305047872;0,754;0,342;1,15820276718751e-43
GFAP;1,62202890113823e-46;1,022466481187334;0,746;0,299;2,91721897869711e-42
COL16A1;1,39771267134861e-45;0,925133900928617;0,752;0,329;2,51378623942048e-41
SPARCL1;3,61460648407399e-43;0,983349957410995;0,906;0,711;6,50086976160707e-39
TUBA1A;6,10346134216741e-43;0,677072659850192;1,000;0,987;1,09770752238881e-38
PSAP;7,04225275361811e-43;0,756631182503281;0,985;0,906;1,26654915773822e-38
PTGDS;2,24896731510653e-42;0,905148374863056;0,583;0,134;4,04476771621910e-38
EGR1;8,23817092467891e-42;0,959033204433689;0,670;0,242;1,48163504080350e-37
COX6C;8,96935483687761e-42;0,640871874721070;0,986;0,909;1,61313846741244e-37
CRYAB;1,64155605735906e-41;0,860219114371835;0,906;0,591;2,95233856916027e-37
COL3A1;1,67299765205914e-41;0,768608796045719;1,000;1,000;3,00888627722837e-37
COL6A1;4,51586345881306e-41;0,784718069931767;0,953;0,815;8,12178043067530e-37
ATP2A2;1,05992348302012e-40;0,875513420648266;0,877;0,621;1,90627238421169e-36
CDKN1A;3,05908127200629e-39;0,820158979062005;0,921;0,658;5,50175766770332e-35
MYH8;5,00217250720782e-37;0,900638177057272;0,993;0,909;8,99640725421326e-33
RPS2;1,81300482684959e-36;-0,427433046051380;1,000;1,000;3,26068918108898e-32
TNNT1;1,18595594506764e-35;0,968970541665466;0,982;0,862;2,13294176720415e-31
DDX5;4,44875252751845e-35;0,651001262283983;0,967;0,826;8,00108142074194e-31
CASQ2;2,09182929678390e-34;0,872575355996141;0,719;0,372;3,76215499026585e-30
RPS6;2,30071486974584e-34;-0,414530605339190;1,000;1,000;4,13783569323790e-30
RPS18;7,50145028050247e-34;-0,434564170976274;1,000;1,000;1,34913583294837e-29
H3F3B;2,17622406017589e-33;0,588790787569532;0,977;0,909;3,91393897222634e-29
RBP1;6,72594148427796e-33;0,733701348393933;0,856;0,594;1,20966057594739e-28
FLNC;1,01789598972671e-32;0,636144044147120;0,948;0,846;1,83068593752349e-28
