gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SFRP2,8.018885123783201e-77,-1.4718940832495406,0.392,0.929,1.4453238547106843e-72
TUBB2B,4.27853578482744e-65,1.157415048077572,1,0.973,7.711632898572978e-61
TUBA1A,3.705826475697731e-60,1.032139327478312,1,1,6.67938163979759e-56
HMGCS1,5.0906965738563375e-58,1.2347880243258813,0.962,0.723,9.175471504718662e-54
JPT1,1.0243119730847272e-57,1.0187612895558193,0.95,0.784,1.8462199002879123e-53
UCHL1,6.6967170835936335e-56,1.1210045259533294,0.989,0.899,1.2070162871469165e-51
MARCKSL1,1.0338471835770678e-55,0.9141144469444287,0.987,0.926,1.863406163679307e-51
DCX,5.255005840442802e-55,1.2570017202505726,0.785,0.314,9.471622526814106e-51
TUBB2A,2.0372664730702363e-53,1.104560949941506,0.995,0.953,3.671969091061794e-49
C1orf61,2.5657340157313635e-53,1.1951182431338854,0.922,0.507,4.62447898995421e-49
PLCG2,4.991170129742905e-52,-1.1352617767203272,0.319,0.78,8.996085041848612e-48
CRMP1,8.825567657328066e-52,1.2331203243511235,0.941,0.659,1.5907203145568107e-47
SEPTIN3,1.1357747375799097e-50,1.0913960264956417,0.85,0.503,2.047120387014029e-46
ENC1,2.2403421316959966e-47,0.88128880702335,0.914,0.598,4.0379926581688644e-43
MAP2,3.32227169522801e-47,1.0371102201602893,0.885,0.507,5.988062503478965e-43
DPYSL3,4.021100162254174e-47,0.8343693334040971,0.98,0.902,7.247630932446923e-43
CD24,2.7865039674325543e-45,1.0495022270077354,0.888,0.557,5.022394750900436e-41
SCD,4.899651356430234e-44,0.809254128452741,0.946,0.747,8.831131604829854e-40
CALM1,2.631867450558337e-43,0.716040333824502,0.99,0.956,4.743677892886347e-39
STMN2,3.797051186112073e-43,1.2500758036642903,0.927,0.652,6.843805057848402e-39
ACTB,3.447908398662985e-42,0.6189710479088872,1,1,6.214510097750165e-38
NDUFA4,1.4783083292120386e-41,0.6764146601359884,0.994,0.963,2.6645029325717785e-37
TUBB3,2.7466546610981623e-41,1.1040438766268996,0.92,0.639,4.950570361163328e-37
GNB1,1.0769471593266654e-39,0.7520960752295109,0.96,0.848,1.9410895599703817e-35
RBFOX1,1.1413889345820517e-38,0.83557030802037,0.502,0.074,2.05723941569069e-34
RTN1,3.09908364528868e-38,0.9996488806736663,0.948,0.78,5.5857883622683175e-34
NREP,5.567993672687497e-38,0.674501774745115,0.998,0.997,1.0035751795651944e-33
NSG2,8.604277103664302e-38,1.083146463282395,0.836,0.48,1.5508349051644536e-33
RTN4,3.2636543581314103e-37,0.6927527850584341,0.976,0.905,5.882410615096054e-33
