gene_name;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
SFRP2;8,01888512378320e-77;-1,471894083249541;0,392;0,929;1,44532385471068e-72
TUBB2B;4,27853578482744e-65;1,157415048077572;1,000;0,973;7,71163289857298e-61
TUBA1A;3,70582647569773e-60;1,032139327478312;1,000;1,000;6,67938163979759e-56
HMGCS1;5,09069657385634e-58;1,234788024325881;0,962;0,723;9,17547150471866e-54
JPT1;1,02431197308473e-57;1,018761289555819;0,950;0,784;1,84621990028791e-53
UCHL1;6,69671708359363e-56;1,121004525953329;0,989;0,899;1,20701628714692e-51
MARCKSL1;1,03384718357707e-55;0,914114446944429;0,987;0,926;1,86340616367931e-51
DCX;5,25500584044280e-55;1,257001720250573;0,785;0,314;9,47162252681411e-51
TUBB2A;2,03726647307024e-53;1,104560949941506;0,995;0,953;3,67196909106179e-49
C1orf61;2,56573401573136e-53;1,195118243133885;0,922;0,507;4,62447898995421e-49
PLCG2;4,99117012974291e-52;-1,135261776720327;0,319;0,780;8,99608504184861e-48
CRMP1;8,82556765732807e-52;1,233120324351124;0,941;0,659;1,59072031455681e-47
SEPTIN3;1,13577473757991e-50;1,091396026495642;0,850;0,503;2,04712038701403e-46
ENC1;2,24034213169600e-47;0,881288807023350;0,914;0,598;4,03799265816886e-43
MAP2;3,32227169522801e-47;1,037110220160289;0,885;0,507;5,98806250347897e-43
DPYSL3;4,02110016225417e-47;0,834369333404097;0,980;0,902;7,24763093244692e-43
CD24;2,78650396743255e-45;1,049502227007735;0,888;0,557;5,02239475090044e-41
SCD;4,89965135643023e-44;0,809254128452741;0,946;0,747;8,83113160482985e-40
CALM1;2,63186745055834e-43;0,716040333824502;0,990;0,956;4,74367789288635e-39
STMN2;3,79705118611207e-43;1,250075803664290;0,927;0,652;6,84380505784840e-39
ACTB;3,44790839866299e-42;0,618971047908887;1,000;1,000;6,21451009775016e-38
NDUFA4;1,47830832921204e-41;0,676414660135988;0,994;0,963;2,66450293257178e-37
TUBB3;2,74665466109816e-41;1,104043876626900;0,920;0,639;4,95057036116333e-37
GNB1;1,07694715932667e-39;0,752096075229511;0,960;0,848;1,94108955997038e-35
RBFOX1;1,14138893458205e-38;0,835570308020370;0,502;0,074;2,05723941569069e-34
RTN1;3,09908364528868e-38;0,999648880673666;0,948;0,780;5,58578836226832e-34
NREP;5,56799367268750e-38;0,674501774745115;0,998;0,997;1,00357517956519e-33
NSG2;8,60427710366430e-38;1,083146463282395;0,836;0,480;1,55083490516445e-33
RTN4;3,26365435813141e-37;0,692752785058434;0,976;0,905;5,88241061509605e-33
YWHAZ;1,23905277776243e-36;0,676785441039828;0,981;0,902;2,23326872663901e-32
EMC10;2,12002946191888e-36;0,706927083009869;0,811;0,470;3,82114110216259e-32
PEBP1;3,25264614666918e-36;0,714199900322845;0,968;0,865;5,86256941475653e-32
NGRN;3,26070577554641e-36;0,735747616009534;0,932;0,730;5,87709608984484e-32
MIAT;8,45547183972296e-36;0,937643625688582;0,736;0,365;1,52401424439167e-31
COX6C;1,06571329287656e-35;0,593977522758389;0,988;0,932;1,92084163908071e-31
HOXB8;1,59901314616487e-35;1,018648067927787;0,588;0,203;2,88206129464755e-31
STMN1;3,80109297402989e-35;0,732091468727356;0,994;0,980;6,85108997639148e-31
MLLT11;5,38545103618462e-35;0,844091045421813;0,886;0,655;9,70673694761916e-31
DNER;5,46154823129814e-35;0,802411126421599;0,860;0,578;9,84389453209177e-31
KLC1;5,48865061839190e-35;0,757785147111335;0,917;0,713;9,89274387458956e-31
GAP43;7,48957323700140e-35;0,991665122174588;0,906;0,622;1,34992068023713e-30
YWHAQ;3,13555563875780e-34;0,672765506368612;0,976;0,916;5,65152548329706e-30
GPM6A;3,57231155939434e-34;0,748448298214367;0,773;0,426;6,43873435465237e-30
SOX4;2,19492701597305e-33;0,769038661729789;0,824;0,483;3,95613645358983e-29
PKIA;3,68406675841634e-33;0,800831047005906;0,836;0,561;6,64016192536960e-29
TMSB10;4,28996191004477e-33;0,723162966333469;1,000;1,000;7,73222734666470e-29
INA;4,46183216046084e-33;0,952272136491616;0,809;0,473;8,04200628601461e-29
SYT11;4,78199027583633e-33;0,720782421947868;0,667;0,307;8,61905927316741e-29
GNAS;6,68114299978730e-33;0,600728063891763;1,000;0,997;1,20420921428166e-28
NSG1;7,78782073339377e-33;0,856762011633373;0,878;0,554;1,40367680898689e-28
GDI1;7,97548973829437e-33;0,658824222689795;0,952;0,764;1,43750227043018e-28
CALM2;8,15519033567267e-33;0,688551286297115;0,999;0,986;1,46989150610164e-28
HSP90AA1;8,88246462540815e-33;0,625537580251915;0,987;0,919;1,60097542408356e-28
BEX1;2,02151874091758e-32;0,798179766645710;0,914;0,740;3,64358537862985e-28
MVD;8,53472362173417e-32;0,866269075881053;0,710;0,395;1,53829858558137e-27
BEX3;1,24252712837551e-31;0,594227943961290;0,994;0,976;2,23953089618402e-27
RTN3;2,03774366063370e-31;0,678372354433694;0,946;0,811;3,67282917392618e-27
STXBP1;2,30374608118395e-31;0,905315321546465;0,773;0,480;4,15227193672596e-27
COX6A1;3,07600993292599e-31;0,566465938481296;0,986;0,932;5,54420030310581e-27
COX7A2;3,38639718466051e-31;0,569123630337574;0,986;0,936;6,10364228563210e-27
FTH1;4,30408684395059e-31;0,467143366198064;1,000;1,000;7,75768612753655e-27
DBI;4,65148998268091e-31;0,806301093812811;0,878;0,557;8,38384554478406e-27
CFL1;1,24821908111627e-30;0,532834401002278;0,995;0,983;2,24979007180397e-26
SELENOW;1,74025002547060e-30;0,547092612144992;0,993;0,963;3,13662664590821e-26
ACTG1;1,80563173611904e-30;0,491263465419260;1,000;1,000;3,25447064118096e-26
TSPAN7;2,31177132593815e-30;0,871467441233763;0,781;0,473;4,16673663787092e-26
STMN4;2,33267059397084e-30;0,807142828020702;0,758;0,409;4,20440547857304e-26
AL627171.2;3,76126001173291e-30;-0,679525122866413;0,290;0,642;6,77929504514740e-26
FEZ1;3,85270367442324e-30;0,672328238309735;0,737;0,429;6,94411310278045e-26
YWHAG;5,85061729677266e-30;0,746557891688081;0,890;0,703;1,05451526157030e-25
HSPA8;1,30164304080546e-29;0,544424661237816;0,998;0,983;2,34608141674776e-25
NDFIP1;1,81768304403212e-29;0,598688817966829;0,946;0,774;3,27619191856349e-25
ADGRG1;2,33857160960463e-29;0,822523005128884;0,773;0,473;4,21504146915138e-25
CAMTA1;4,09942649954206e-29;0,619923441095666;0,784;0,459;7,38880632277460e-25
BASP1;4,19920063959679e-29;0,896665891094930;0,922;0,801;7,56863923280926e-25
ACLY;4,93648225483564e-29;0,672789460062311;0,749;0,429;8,89751561611575e-25
ATP5F1E;5,60474453706740e-29;0,467254494557804;0,998;0,997;1,01019915536103e-24
PAK3;7,49415422709559e-29;0,805653883040398;0,554;0,206;1,35074635789171e-24
GTF2I;1,04033682343783e-28;0,570710166267758;0,976;0,912;1,87510309056435e-24
DPYSL2;1,95466634367945e-28;0,649954195067724;0,983;0,932;3,52309061784785e-24
INPP5F;2,02255632998288e-28;0,702310266991695;0,530;0,169;3,64545552916115e-24
PPP2R1A;3,41871855944122e-28;0,575525206705785;0,948;0,872;6,16189833153685e-24
SPTAN1;8,47164093859385e-28;0,637948327689825;0,965;0,878;1,52692856277215e-23
MSMO1;8,48325761398610e-28;0,689375610442860;0,734;0,439;1,52902235234485e-23
BLCAP;1,28352907044225e-27;0,614394788502576;0,862;0,598;2,31343279656511e-23
DKK1;1,45902311357120e-27;-0,512751024558658;0,101;0,372;2,62974325990074e-23
BEX2;1,53546402950626e-27;0,682651681578495;0,797;0,510;2,76752036678208e-23
SDC3;1,73248140014828e-27;0,608735957479009;0,909;0,693;3,12262447562727e-23
DYNC1H1;2,31151445559506e-27;0,617459953661956;0,868;0,652;4,16627365476453e-23
STMN3;2,34395867240885e-27;0,715849141532714;0,807;0,500;4,22475111114971e-23
FDFT1;3,72583918307519e-27;0,588965800371924;0,725;0,426;6,71545254357472e-23
CLASP2;4,08583125202953e-27;0,668695199191405;0,709;0,409;7,36430224865803e-23
UBE2QL1;5,99696569993490e-27;0,773374556733267;0,650;0,334;1,08089309775627e-22
CAMK2N1;7,53274539006829e-27;0,723017326370177;0,755;0,486;1,35770202910591e-22
TXN;7,62398090639743e-27;0,568767289911996;0,888;0,686;1,37414631856907e-22
YWHAH;4,64458078187875e-26;0,750268487632433;0,863;0,652;8,37139240125826e-22
MAP1B;6,33813172428098e-26;0,594441751967425;0,999;0,983;1,14238486198440e-21
SARAF;6,74186099526418e-26;0,581303838938064;0,959;0,889;1,21515302578642e-21
OCIAD1;7,17984228945892e-26;0,578839010581479;0,914;0,760;1,29409477425208e-21
PFN2;8,44569063628432e-26;0,547343339817729;0,946;0,821;1,52225128028389e-21
