gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C1orf61,3.157279192399162e-72,1.9248755228008416,0.922,0.303,5.678366627529893e-68
SFRP2,1.5193795717589341e-59,-1.388648836872744,0.397,0.938,2.732604159808443e-55
DBI,4.068481101936797e-46,1.2672556418116432,0.878,0.418,7.31716326183333e-42
PTN,4.1134100744007725e-46,1.4980737255257837,0.988,0.899,7.39796801880979e-42
HMGCS1,2.0302035414337087e-42,1.2025585681837545,0.96,0.731,3.651321069268525e-38
TUBB2B,3.826055839711138e-42,1.030729720462657,1,0.986,6.881161427720482e-38
SCD,6.429702053160205e-40,0.9055346349410516,0.946,0.721,1.1563819142608629e-35
ADGRG1,1.9869168774075847e-37,1.0972423373937794,0.774,0.341,3.5734700040175414e-33
ZIC1,2.7296286884803583e-37,1.0208345122951692,0.799,0.361,4.9092371962319246e-33
JPT1,4.863113282044859e-37,0.8958101030338894,0.951,0.827,8.74630923775768e-33
MARCKSL1,6.600595317270678e-35,0.8046049287395267,0.987,0.938,1.1871170678111314e-30
DCX,5.057233552940841e-34,1.1058055500338098,0.787,0.399,9.095434544964103e-30
ENC1,1.1429118405976583e-33,0.8379176103402768,0.913,0.596,2.0555269453148885e-29
TUBA1A,1.4148735878208607e-33,0.8661258836015291,1,1,2.544650147695818e-29
EMC10,8.337471197139816e-33,0.7655518122765518,0.809,0.413,1.4994941948055959e-28
ACTB,3.5801717020711645e-31,0.6262506612215177,1,1,6.438938806174989e-27
SEPTIN3,6.536242521212189e-31,0.9413928606548356,0.849,0.562,1.1755432174400122e-26
TTYH1,1.279699562401212e-30,0.8922091398916874,0.714,0.284,2.3015396629785797e-26
TUBB2A,1.4064166026456057e-30,0.9126925484015276,0.995,0.986,2.5294402598581218e-26
PLCG2,1.5383339492212883e-30,-0.9829715100156751,0.326,0.731,2.766693607674487e-26
DPYSL3,2.9526287004836492e-30,0.7473420309742158,0.979,0.923,5.310302717819843e-26
DKK1,1.1885991883061391e-29,-0.6176641363118865,0.099,0.409,2.1376956401685914e-25
UCHL1,1.72684679434804e-29,0.8781851578194346,0.989,0.962,3.1057339596349498e-25
CALM1,3.6030443719607784e-29,0.6703324886998816,0.989,0.952,6.48007530297146e-25
