gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
C1orf61;3,15727919239916e-72;1,924875522800842;0,922;0,303;5,67836662752989e-68
SFRP2;1,51937957175893e-59;-1,388648836872744;0,397;0,938;2,73260415980844e-55
DBI;4,06848110193680e-46;1,267255641811643;0,878;0,418;7,31716326183333e-42
PTN;4,11341007440077e-46;1,498073725525784;0,988;0,899;7,39796801880979e-42
HMGCS1;2,03020354143371e-42;1,202558568183755;0,960;0,731;3,65132106926853e-38
TUBB2B;3,82605583971114e-42;1,030729720462657;1,000;0,986;6,88116142772048e-38
SCD;6,42970205316021e-40;0,905534634941052;0,946;0,721;1,15638191426086e-35
ADGRG1;1,98691687740758e-37;1,097242337393779;0,774;0,341;3,57347000401754e-33
ZIC1;2,72962868848036e-37;1,020834512295169;0,799;0,361;4,90923719623192e-33
JPT1;4,86311328204486e-37;0,895810103033889;0,951;0,827;8,74630923775768e-33
MARCKSL1;6,60059531727068e-35;0,804604928739527;0,987;0,938;1,18711706781113e-30
DCX;5,05723355294084e-34;1,105805550033810;0,787;0,399;9,09543454496410e-30
ENC1;1,14291184059766e-33;0,837917610340277;0,913;0,596;2,05552694531489e-29
TUBA1A;1,41487358782086e-33;0,866125883601529;1,000;1,000;2,54465014769582e-29
EMC10;8,33747119713982e-33;0,765551812276552;0,809;0,413;1,49949419480560e-28
ACTB;3,58017170207116e-31;0,626250661221518;1,000;1,000;6,43893880617499e-27
SEPTIN3;6,53624252121219e-31;0,941392860654836;0,849;0,562;1,17554321744001e-26
TTYH1;1,27969956240121e-30;0,892209139891687;0,714;0,284;2,30153966297858e-26
TUBB2A;1,40641660264561e-30;0,912692548401528;0,995;0,986;2,52944025985812e-26
PLCG2;1,53833394922129e-30;-0,982971510015675;0,326;0,731;2,76669360767449e-26
DPYSL3;2,95262870048365e-30;0,747342030974216;0,979;0,923;5,31030271781984e-26
DKK1;1,18859918830614e-29;-0,617664136311887;0,099;0,409;2,13769564016859e-25
UCHL1;1,72684679434804e-29;0,878185157819435;0,989;0,962;3,10573395963495e-25
CALM1;3,60304437196078e-29;0,670332488699882;0,989;0,952;6,48007530297146e-25
PEA15;3,16504434017696e-28;0,764734859979806;0,887;0,577;5,69233224580826e-24
FEZ1;9,46798524391791e-28;0,743293104416313;0,731;0,356;1,70281714611864e-23
HOXB8;1,02320012965165e-27;1,025633410101365;0,581;0,178;1,84022543317850e-23
CRMP1;1,83345222650517e-27;0,992943626032888;0,939;0,788;3,29746382936955e-23
